emergencyVehicleType,license_plate,vehicleSupportType,observationDateTime,longitude,latitude,serviceOnDuty
Ambulance,KA03D9708,BLS,2024-01-01T00:00:15+05:30,77.626454,12.921433,YES
Ambulance,KA05U3892,BLS,2024-01-01T00:00:34+05:30,77.692373,12.838836,NO
Ambulance,KA40V2034,BLS,2024-01-01T00:04:28+05:30,77.712596,12.810195,YES
Ambulance,KA40S3812,BLS,2024-01-01T00:06:10+05:30,77.621702,13.160994,YES
Ambulance,KA40T2179,ALS,2024-01-01T00:07:37+05:30,77.696576,12.960076,YES
Ambulance,KA04M6459,Patient Transport,2024-01-01T00:09:58+05:30,77.542059,13.079797,YES
Ambulance,KA02N5926,BLS,2024-01-01T00:10:13+05:30,77.696472,12.84963,YES
Ambulance,KA50J5854,Patient Transport,2024-01-01T00:11:01+05:30,77.640005,13.120819,YES
Ambulance,KA04T7543,ALS,2024-01-01T00:17:23+05:30,77.690946,12.829271,YES
Ambulance,KA01X9341,BLS,2024-01-01T00:21:25+05:30,77.679295,12.831966,YES
Ambulance,KA40A5474,Patient Transport,2024-01-01T00:25:10+05:30,77.552988,13.026822,YES
Ambulance,KA01X9341,BLS,2024-01-01T00:31:31+05:30,77.616986,12.933569,YES
Ambulance,KA05F1958,BLS,2024-01-01T00:35:31+05:30,77.641863,12.970132,YES
Ambulance,KA41Y7419,Patient Transport,2024-01-01T00:36:21+05:30,77.539524,13.022551,YES
Ambulance,KA50H1620,Patient Transport,2024-01-01T00:39:48+05:30,77.630573,12.99622,YES
Ambulance,KA50K3022,ALS,2024-01-01T00:42:06+05:30,77.531908,12.933582,YES
Ambulance,KA51P3128,ALS,2024-01-01T00:49:35+05:30,77.653854,12.923451,YES
Ambulance,KA01K2904,Patient Transport,2024-01-01T00:58:46+05:30,77.746291,12.978004,NO
Ambulance,KA41P6997,ALS,2024-01-01T01:01:44+05:30,77.644063,12.996114,YES
Ambulance,KA01S3086,Patient Transport,2024-01-01T01:03:37+05:30,77.602814,12.918666,YES
Ambulance,KA51M1237,ALS,2024-01-01T01:11:10+05:30,77.761893,13.19098,YES
Ambulance,KA04M6459,Patient Transport,2024-01-01T01:16:28+05:30,77.639726,12.899262,YES
Ambulance,KA05U3892,BLS,2024-01-01T01:23:55+05:30,77.664053,12.922811,YES
Ambulance,KA03H4273,ALS,2024-01-01T01:38:54+05:30,77.673111,12.855276,YES
Ambulance,KA03P8868,Patient Transport,2024-01-01T01:39:07+05:30,77.630082,12.925528,YES
Ambulance,KA03U2278,BLS,2024-01-01T01:47:02+05:30,77.545717,12.935085,YES
Ambulance,KA01K2904,Patient Transport,2024-01-01T02:05:42+05:30,77.617481,12.922264,YES
Ambulance,KA51Y4340,BLS,2024-01-01T02:10:43+05:30,77.572754,12.928153,YES
Ambulance,KA41T8500,Patient Transport,2024-01-01T02:28:16+05:30,77.590498,13.173627,YES
Ambulance,KA50J5854,Patient Transport,2024-01-01T02:32:27+05:30,77.667265,12.836004,YES
Ambulance,KA03U2278,BLS,2024-01-01T02:44:35+05:30,77.597593,13.067136,YES
Ambulance,KA50K3022,ALS,2024-01-01T02:50:31+05:30,77.752973,13.05683,YES
Ambulance,KA41P6997,ALS,2024-01-01T03:03:43+05:30,77.435718,13.099596,YES
Ambulance,KA05F1958,BLS,2024-01-01T03:24:40+05:30,77.456118,13.113865,YES
Ambulance,KA01M6465,BLS,2024-01-01T03:33:10+05:30,77.676494,12.951351,YES
Ambulance,KA04D3606,BLS,2024-01-01T03:46:45+05:30,77.768261,12.966772,YES
Ambulance,KA40H1271,BLS,2024-01-01T03:57:45+05:30,77.503801,13.045907,NO
Ambulance,KA01M6465,BLS,2024-01-01T03:59:24+05:30,77.571822,12.922751,YES
Ambulance,KA01M6465,BLS,2024-01-01T04:05:51+05:30,77.418775,13.077621,YES
Ambulance,KA01K2904,Patient Transport,2024-01-01T04:06:17+05:30,77.68745,12.84413,YES
Ambulance,KA51Y4340,BLS,2024-01-01T04:13:12+05:30,77.63303,12.977691,YES
Ambulance,KA40S3812,BLS,2024-01-01T04:15:49+05:30,77.687656,12.839718,NO
Ambulance,KA51H1989,Patient Transport,2024-01-01T04:32:49+05:30,77.629041,12.923482,YES
Ambulance,KA40A5474,Patient Transport,2024-01-01T04:36:14+05:30,77.616318,12.934733,YES
Ambulance,KA51H1989,Patient Transport,2024-01-01T04:37:28+05:30,77.472296,13.04473,YES
Ambulance,KA03F6773,ALS,2024-01-01T04:42:36+05:30,77.638792,12.989321,YES
Ambulance,KA51F5066,BLS,2024-01-01T04:56:52+05:30,77.704265,12.971342,NO
Ambulance,KA40S3812,BLS,2024-01-01T05:00:48+05:30,77.796966,13.188497,YES
Ambulance,KA40A5474,Patient Transport,2024-01-01T05:07:16+05:30,77.449381,12.801203,YES
Ambulance,KA50J5854,Patient Transport,2024-01-01T05:13:47+05:30,77.704547,12.826765,YES
Ambulance,KA01K2904,Patient Transport,2024-01-01T05:15:53+05:30,77.70314,13.134396,YES
Ambulance,KA51Y5446,ALS,2024-01-01T05:18:32+05:30,77.673967,12.873489,YES
